 8590.00    1.1579        23436.        23436.    
 8580.00    1.1579        23409.        23409.    
 8570.00    1.1579        23382.        23382.    
 8560.00    1.1579        23354.        23354.    
 8550.00    1.1579        23327.        23327.    
 8540.00    1.1579        23300.        23300.    
 8530.00    1.1579        23273.        23273.    
 8520.00    1.1579        23245.        23245.    
 8510.00    1.1579        23218.        23218.    
 8500.00    1.1579        23191.        23191.    
 8490.00    1.1579        23163.        23163.    
 8480.00    1.1579        23136.        23136.    
 8470.00    1.1579        23109.        23109.    
 8460.00    1.1579        23082.        23082.    
 8450.00    1.1579        23054.        23054.    
 8440.00    1.1579        23027.        23027.    
 8430.00    1.1579        23000.        23000.    
 8420.00    1.1579        22972.        22972.    
 8410.00    1.1579        22945.        22945.    
 8400.00    1.1579        22918.        22918.    
 8390.00    1.1579        22891.        22891.    
 8380.00    1.1579        22863.        22863.    
 8370.00    1.1579        22836.        22836.    
 8360.00    1.1579        22809.        22809.    
 8350.00    1.1579        22782.        22782.    
 8340.00    1.1579        22754.        22754.    
 8330.00    1.1579        22727.        22727.    
 8320.00    1.1579        22700.        22700.    
 8310.00    1.1579        22672.        22672.    
 8300.00    1.1579        22645.        22645.    
 8290.00    1.1579        22618.        22618.    
 8280.00    1.1579        22591.        22591.    
 8270.00    1.1579        22563.        22563.    
 8260.00    1.1579        22536.        22536.    
 8250.00    1.1579        22509.        22509.    
 8240.00    1.1579        22481.        22481.    
 8230.00    1.1579        22454.        22454.    
 8220.00    1.1579        22427.        22427.    
 8210.00    1.1579        22400.        22400.    
 8200.00    1.1579        22372.        22372.    
 8190.00    1.1579        22345.        22345.    
 8180.00    1.1579        22318.        22318.    
 8170.00    1.1579        22290.        22290.    
 8160.00    1.1579        22263.        22263.    
 8150.00    1.1579        22236.        22236.    
 8140.00    1.1579        22209.        22209.    
 8130.00    1.1579        22181.        22181.    
 8120.00    1.1579        22154.        22154.    
 8110.00    1.1579        22127.        22127.    
 8100.00    1.1579        22100.        22100.    
 8090.00    1.1579        22072.        22072.    
 8080.00    1.1579        22045.        22045.    
 8070.00    1.1579        22018.        22018.    
 8060.00    1.1579        21990.        21990.    
 8050.00    1.1579        21963.        21963.    
